Question,Answer
The baby giggles at the red balloon,The baby giggles at the red balloon
He fixed the bike with his new tools,He fixed the bike with his new tools
The wind blows leaves down the street,The wind blows leaves down the street
The moon shines bright in the night,The moon shines bright in the night
We roasted marshmallows by the fire,We roasted marshmallows by the fire
The bird sang sweetly in the morning,The bird sang sweetly in the morning
The stars twinkle in the evening sky,The stars twinkle in the evening sky
The train arrived at the station late,The train arrived at the station late
The waves splash softly onto the sand,The waves splash softly onto the sand
The bakery smells of fresh warm bread,The bakery smells of fresh warm bread
The leaves fall gently from the trees,The leaves fall gently from the trees
We saw a rainbow after the rainstorm,We saw a rainbow after the rainstorm
She picked flowers in the green meadow,She picked flowers in the green meadow
The puppy wagged its tail with joy,The puppy wagged its tail with joy
The clouds drift across the blue sky,The clouds drift across the blue sky
The fire crackled softly in the night,The fire crackled softly in the night
He carried a basket of fresh apples,He carried a basket of fresh apples
I found a feather on the hiking trail,I found a feather on the hiking trail
The sun warms the grass on the hill,The sun warms the grass on the hill
The kids play tag in the empty field,The kids play tag in the empty field
She drew a picture of a smiling sun,She drew a picture of a smiling sun
The kite flew high above the trees,The kite flew high above the trees
The clock struck twelve in the night,The clock struck twelve in the night
We ate sandwiches under the shady tree,We ate sandwiches under the shady tree
The river flows slowly past the rocks,The river flows slowly past the rocks
The dog slept near the warm fireplace,The dog slept near the warm fireplace
The rain pattered softly on the window,The rain pattered softly on the window
The stars reflect on the quiet lake,The stars reflect on the quiet lake
The kitten played with a ball of yarn,The kitten played with a ball of yarn
